Date&Time,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,INJURED,KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,FACTOR_VEHICLE1,FACTOR_VEHICLE2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
4/7/15 0:28,STATEN ISLAND,10301,40.6425035,-74.098202,"(40.6425035, -74.098202)",CLINTON AVENUE,CASSIDY PLACE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3199201,PASSENGER VEHICLE,UNKNOWN,,,
4/7/15 0:30,,,,,,ROCKAWAY BOULEVARD,135 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3199106,,,,,
4/7/15 0:42,BRONX,10461,40.8533525,-73.8308903,"(40.8533525, -73.8308903)",,,2065 HOBART AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3198862,PASSENGER VEHICLE,UNKNOWN,,,
4/7/15 0:45,MANHATTAN,10022,40.759308,-73.9652931,"(40.759308, -73.9652931)",EAST 57 STREET,2 AVENUE,,0,0,0,0,0,0,0,0,Lost Consciousness,Unspecified,,,,3198740,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
4/7/15 0:46,MANHATTAN,10011,40.7386864,-73.9958754,"(40.7386864, -73.9958754)",WEST 16 STREET,6 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3198721,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
4/7/15 0:55,BROOKLYN,11223,40.6088143,-73.9729958,"(40.6088143, -73.9729958)",AVENUE P,MC DONALD AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3198924,PASSENGER VEHICLE,,,,
4/7/15 10:00,BROOKLYN,11201,40.6959932,-73.983213,"(40.6959932, -73.983213)",TILLARY STREET,GOLD STREET,,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Unspecified,,,,3199034,PASSENGER VEHICLE,MOTORCYCLE,,,
4/7/15 10:04,MANHATTAN,10128,40.7808011,-73.9546299,"(40.7808011, -73.9546299)",EAST 88 STREET,LEXINGTON AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3198776,LIVERY VEHICLE,OTHER,,,
4/7/15 10:06,BRONX,10462,40.834597,-73.8610116,"(40.834597, -73.8610116)",MCGRAW AVENUE,METROPOLITAN AVENUE,,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Unspecified,,,,3199381,PASSENGER VEHICLE,UNKNOWN,,,
4/7/15 10:06,MANHATTAN,10027,40.8107645,-73.9525902,"(40.8107645, -73.9525902)",ST NICHOLAS AVENUE,WEST 125 STREET,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3198806,SPORT UTILITY / STATION WAGON,VAN,,,
4/7/15 10:13,BRONX,10475,40.8900764,-73.8198489,"(40.8900764, -73.8198489)",BOSTON ROAD,ROPES AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3199408,SMALL COM VEH(4 TIRES),PASSENGER VEHICLE,,,
4/7/15 10:15,MANHATTAN,10009,40.7287686,-73.9844314,"(40.7287686, -73.9844314)",EAST 10 STREET,1 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3198709,TAXI,SPORT UTILITY / STATION WAGON,,,
4/7/15 10:20,,,,,,,,PARKING LOT OF 138 ST & 38 AVE,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,3199647,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
4/7/15 10:23,STATEN ISLAND,10312,40.553159,-74.1957132,"(40.553159, -74.1957132)",,,F/O 39 REGENT CIRCLE,0,0,0,0,0,0,0,0,View Obstructed/Limited,Unspecified,,,,3199712,PASSENGER VEHICLE,OTHER,,,
4/7/15 10:25,MANHATTAN,10001,40.754584,-73.9991446,"(40.754584, -73.9991446)",10 AVENUE,WEST 34 STREET,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3198717,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
4/7/15 10:27,,,,,,ARLINGTON PLACE,SOUTH AVENUE,,0,0,0,0,0,0,0,0,Lost Consciousness,Unspecified,,,,3199213,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
4/7/15 10:30,,,,,,57 ROAD,GRAND AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3199587,PASSENGER VEHICLE,OTHER,,,
4/7/15 10:37,,,40.6651367,-73.996681,"(40.6651367, -73.996681)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3198972,PASSENGER VEHICLE,LARGE COM VEH(6 OR MORE TIRES),,,
4/7/15 10:40,MANHATTAN,10065,40.7659833,-73.9654448,"(40.7659833, -73.9654448)",LEXINGTON AVENUE,EAST 65 STREET,,0,0,0,0,0,0,0,0,Outside Car Distraction,Outside Car Distraction,,,,3198775,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
4/7/15 10:44,BROOKLYN,11203,40.6563606,-73.9347839,"(40.6563606, -73.9347839)",CLARKSON AVENUE,EAST 46 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3199918,PASSENGER VEHICLE,UNKNOWN,,,
4/7/15 10:45,,,40.7113851,-73.8365916,"(40.7113851, -73.8365916)",,,,0,0,0,0,0,0,0,0,Oversized Vehicle,,,,,3199064,SMALL COM VEH(4 TIRES),,,,
4/7/15 10:50,BROOKLYN,11217,40.6858684,-73.9882887,"(40.6858684, -73.9882887)",BERGEN STREET,HOYT STREET,,0,0,0,0,0,0,0,0,Obstruction/Debris,Unspecified,,,,3199039,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
4/7/15 10:50,MANHATTAN,10065,40.7662396,-73.9602318,"(40.7662396, -73.9602318)",2 AVENUE,EAST 68 STREET,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Turning Improperly,,,,3198782,LIVERY VEHICLE,PASSENGER VEHICLE,,,
